legacy_id;legacy_usage_count;legacy_sample_labels;current_label;notes
11;23;Cadeaux - Enfants / Enfants : Activités / Enfants : CLARA;;
8;16;Avance - indivision / Avance - IUT / Avance - Karen;;
12;11;Maison - Chaudière / Maison - divers / Maison - Eau;;
7;9;Divers - A ventiler / Divers - abonnement bancaires * / Divers - cadeau CS;;
10;8;Santé - dentiste clara / Santé - dentiste emma / Santé - EMMA;;
14;6;Vacances - été / Vacances - karen (juillet) / Vacances - noel;;
3;5;Auto / Auto - Carburant / Auto - Divers **;;
13;4;Etat - Impots foncier / Etat - Impots locaux / Etat - Impots sur le revenu;;
19;4;Héritage (disponible) / Héritage (en bourse DEGIRO) / Héritage (liquide);;
16;3;Maison - Remb. Emprunt Extension / Maison - Solde Emprunt Maison / PAPA;;
5;2;POLE EMPLOI (Capital) / POLE EMPLOI (indemnités mensuelles);;
15;2;Loisir : SPORT / Loisir : VOX Christian;;
2;1;Avance : ASSURANCE;;
43;1;RETRAITE;;
